date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
4/30/2020,90435.01695,1388.99593,1722.971694,442,229,105,144,108,138,90,24,0,0
5/1/2020,90145.91619,1433.87093,1645.730112,484,180,118,114,99,130,71,30,0,0
5/2/2020,89898.29203,1398.105951,855.8813942,392,96,46,41,30,39,33,8,0,0
5/3/2020,90337.93368,1295.523045,830.0701294,380,103,49,19,18,33,27,9,0,0
5/4/2020,90684.19305,1176.3295,1912.364513,450,473,207,118,98,98,111,26,0,0
5/5/2020,90291.46537,1519.636833,1651.760346,459,191,168,125,111,95,92,31,0,0
5/6/2020,90139.19602,1499.491,1481.224632,456,178,119,101,111,96,78,19,0,0
5/7/2020,90228.68317,1570.711779,1685.953636,465,199,135,145,107,135,84,43,0,0
5/8/2020,90690.21517,1580.485642,1661.989172,591,235,105,114,84,84,75,28,0,0
5/9/2020,90571.73025,1543.504252,851.8225053,381,118,41,39,29,25,25,10,0,0
5/10/2020,91055.662,1335.754252,834.1315962,379,142,35,30,29,18,24,3,0,0
5/11/2020,91423.7392,1202.208797,2427.194035,501,419,277,138,103,104,101,44,0,0
5/12/2020,90920.70039,1924.155226,1758.598076,490,146,238,113,112,79,112,37,0,0
5/13/2020,90776.7929,1614.690579,1738.138949,510,207,231,149,103,80,106,35,0,0
5/14/2020,90825.37151,1786.717563,1743.278809,525,197,169,136,118,104,100,41,0,0
5/15/2020,90825.91416,1743.82146,1644.778809,585,209,108,128,94,75,74,36,0,0
5/16/2020,91088.0553,1906.919944,965.8327048,479,111,51,46,34,26,24,9,0,0
5/17/2020,91585.23085,1463.008256,990.7557817,439,148,56,52,29,16,25,16,0,0
5/18/2020,91905.5064,1311.031333,2168.094963,529,512,285,157,99,85,96,37,0,0
5/19/2020,91459.39306,1721.981625,1866.583058,545,153,252,184,125,91,109,58,0,0
5/20/2020,91557.69639,1964.886387,1976.451889,578,221,177,159,118,86,135,70,0,0
5/21/2020,93641.43327,1835.188768,2006.139578,583,255,151,168,135,109,146,79,0,0
5/22/2020,93577.81813,1942.52444,1854.635732,626,313,134,154,137,113,101,89,0,0
5/23/2020,93750.43376,2027.251363,1058.2432,526,108,60,51,48,22,21,20,0,0
5/24/2020,94398.72219,1706.531632,1102.74961,498,134,58,38,49,13,20,11,0,0
5/25/2020,94770.8931,1474.92052,1061.616276,330,153,64,42,43,14,31,5,0,0
5/26/2020,95198.70211,1489.425282,2365.67461,455,437,411,139,173,84,74,49,0,0
5/27/2020,94809.39596,1976.368464,1948.530216,653,189,236,148,172,79,89,54,0,0
5/28/2020,94765.5986,1904.732856,2219.224172,600,351,185,222,211,103,70,67,0,0
5/29/2020,94568.99077,2022.616339,2068.34322,651,326,165,145,176,113,69,80,0,0
5/30/2020,94524.57341,2023.925863,1068.09322,560,115,66,36,67,13,23,25,0,0
5/31/2020,95078.25606,1621.775863,1162.182506,523,141,58,42,69,23,29,33,0,0
6/1/2020,95419.74227,1503.66872,2444.729874,645,546,316,161,166,65,70,76,0,0
6/2/2020,94750.54778,1775.535387,2083.320783,621,220,272,160,166,84,70,84,0,0
6/3/2020,94476.13107,1808.904073,2354.529117,617,221,231,241,229,129,97,131,0,0
6/4/2020,94182.76999,2061.168034,1836.005258,617,220,177,131,171,91,45,78,0,0
6/5/2020,94146.00958,1799.24485,2067.619544,605,255,171,177,215,107,61,98,0,0
6/6/2020,94319.6587,2241.268659,1009.557772,546,100,65,50,59,19,11,28,0,0
6/7/2020,94938.95816,1628.857237,1177.144769,537,153,94,65,114,49,9,23,0,0
